name,calories,protein,carbs,fat
Chicken Breast,165,31.0,0.0,3.6
Beef,250,26.0,0.0,20.0
Pork Chop,242,27.0,0.0,14.0
Salmon,208,20.0,0.0,13.0
Tuna,132,28.0,0.0,1.0
Egg,78,6.0,1.0,5.0
Milk,42,3.4,5.0,1.0
Cheddar Cheese,402,25.0,1.3,33.0
Yogurt,59,10.0,3.6,0.4
Tofu,76,8.0,2.0,4.8
Brown Rice,216,5.0,45.0,1.8
White Rice,130,2.7,28.0,0.3
Quinoa,120,4.1,21.3,1.9
Oats,389,17.0,66.0,7.0
Whole Wheat Bread,247,13.0,41.0,4.2
Broccoli,55,3.7,11.0,0.6
Spinach,23,2.9,3.6,0.4
Carrot,41,0.9,10.0,0.2
Potato,77,2.0,17.0,0.1
Sweet Potato,86,1.6,20.1,0.1
Avocado,160,2.0,9.0,15.0
Apple,52,0.3,14.0,0.2
Banana,89,1.1,23.0,0.3
Blueberries,57,0.7,14.0,0.3
Strawberries,32,0.7,7.7,0.3
Peanut Butter,588,25.0,20.0,50.0
Almonds,579,21.0,22.0,50.0
Chocolate Bar,546,7.6,60.0,31.0
Granola Bar,471,10.0,64.0,20.0
French Fries,312,3.4,41.0,15.0
Hamburger,295,17.0,30.0,12.0
Pizza,266,11.0,33.0,10.0
Coke,140,0.0,39.0,0.0
Orange Juice,45,0.7,10.4,0.2
Water,0,0.0,0.0,0.0
